date,net_sentiment,delta_sentiment,US_10Y_ret_1d,US_10Y_ret_5d,SPX_ret_1d,SPX_ret_5d,DXY_ret_1d,DXY_ret_5d,BTC_ret_1d,BTC_ret_5d,GOLD_ret_1d,GOLD_ret_5d
2024-12-18,0.079,0.0,0.76,0.85,-0.09,2.82,0.35,0.09,-2.55,-5.35,-1.68,0.09
2025-01-29,0.0839,0.0049,-0.43,-1.33,0.53,0.37,-0.19,-0.39,1.0,-2.22,1.95,3.7
2025-03-19,0.0323,-0.0516,-0.23,0.82,-0.22,0.65,0.41,1.08,-3.09,0.74,0.14,-0.49
2025-05-07,0.0732,0.0409,0.98,2.53,0.58,4.64,1.03,1.44,6.4,5.96,-2.51,-5.91
2025-06-18,0.1285,0.0553,-0.22,-1.44,-0.22,2.68,-0.2,-1.78,-0.19,0.66,-0.64,-1.66
2025-07-30,0.0805,-0.048,-0.16,-1.56,-0.37,-0.28,0.09,-1.76,-1.76,-2.34,-0.08,2.55
2025-08-22,0.2146,0.1341,0.15,-0.33,-0.43,-0.1,0.73,0.05,-1.28,-4.84,-0.02,2.94
2025-09-17,0.0278,-0.1868,0.28,0.71,0.48,0.57,0.5,1.03,0.57,-3.19,-1.03,1.37
2025-10-29,0.0275,-0.0003,0.35,0.99,-0.99,-1.37,0.31,0.99,-1.59,-3.19,0.44,-0.09
2025-12-10,0.029,0.0015,-0.23,-0.13,0.21,-2.4,-0.45,-0.43,0.53,-6.09,2.12,3.6
2026-01-28,0.0962,0.0672,-0.24,0.24,-0.13,-1.37,-0.18,1.21,-5.18,-11.77,0.32,-7.19
2026-03-18,0.0348,-0.0614,0.22,0.69,-0.27,-0.5,-0.86,-0.49,-1.87,-0.46,-5.91,-6.96
2026-04-29,0.0442,0.0094,-0.28,-0.62,1.02,3.21,-0.85,-0.91,0.7,5.35,1.53,3.01
2026-06-17,0.4768,0.4326,-0.12,-0.71,1.08,-0.84,0.76,1.34,-2.36,-0.72,-3.09,-7.53
2026-07-29,0.3479,-0.1289,0.41,-0.05,1.66,5.57,-0.78,-1.1,1.28,-0.7,1.62,5.23
